kpi,settimana,mese,trimestre,semestre,anno,userid,indicatorsprev,indicatorscons
VSDIndiretto,43,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDIndiretto,42,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,1800.0,1800.0
VSDIndiretto,41,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2000.0,2000.0
VSDIndiretto,39,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,3000.0,3000.0
VSDIndiretto,39,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDIndiretto,36,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,36,9,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,35,8,3,2,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDIndiretto,28,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,28,7,3,2,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,25,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,4000.0,4000.0
VSDIndiretto,23,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,23,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
VSDIndiretto,23,6,2,1,2024,2e64a0dc2dbd0cdc197a35a4,3200.0,3200.0
VSDIndiretto,20,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,900.0,900.0
VSDIndiretto,19,5,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1600.0,1600.0
NNCF,8,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,2.0,2.0
NNCF,9,2,1,1,2024,2e64a0dc2dbd0cdc197a35a4,2.0,2.0
NNCF,10,3,1,1,2024,2e64a0dc2dbd0cdc197a35a4,1.0,1.0
NNCF,14,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1.0,1.0
NNCF,15,4,2,1,2024,2e64a0dc2dbd0cdc197a35a4,1.0,1.0
NNCF,42,10,4,2,2024,2e64a0dc2dbd0cdc197a35a4,2.0,2.0
NNCF,8,2,1,1,2025,2e64a0dc2dbd0cdc197a35a4,2.0,2.0
NNCF,14,4,2,1,2025,2e64a0dc2dbd0cdc197a35a4,1.0,1.0
NNCF,29,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,1.0,1.0
NNCF,30,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,5.0,5.0
NNCF,31,7,3,2,2025,2e64a0dc2dbd0cdc197a35a4,4.0,4.0
NNCF,32,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,3.0,3.0
NNCF,34,8,3,2,2025,2e64a0dc2dbd0cdc197a35a4,1.0,1.0
